transaction_id,customer_name,product_name,category,amount,quantity,sales_date,region,salesperson
1,Customer_103,Phone,Computing,1732.8,4,2024-09-13 08:06:46.270852,North,Sales_31
2,Customer_436,Headphones,Accessories,1451.6,5,2025-05-30 08:06:46.270865,South,Sales_42
3,Customer_861,Keyboard,Accessories,813.58,5,2024-12-22 08:06:46.270870,North,Sales_38
4,Customer_271,Phone,Electronics,437.34,9,2025-01-11 08:06:46.270873,North,Sales_33
5,Customer_107,Tablet,Computing,718.38,8,2025-03-24 08:06:46.270876,West,Sales_6
6,Customer_72,Headphones,Accessories,575.37,9,2024-08-14 08:06:46.270879,Central,Sales_8
7,Customer_701,Tablet,Electronics,360.42,3,2024-09-14 08:06:46.270882,Central,Sales_28
8,Customer_21,Headphones,Computing,1489.23,3,2025-04-10 08:06:46.270885,North,Sales_15
9,Customer_615,Laptop,Computing,511.62,1,2024-12-15 08:06:46.270888,North,Sales_31
10,Customer_122,Laptop,Computing,913.79,6,2025-01-12 08:06:46.270891,North,Sales_8
11,Customer_467,Laptop,Computing,777.86,4,2025-06-05 08:06:46.270893,West,Sales_6
12,Customer_215,Phone,Computing,1964.33,8,2024-09-10 08:06:46.270896,West,Sales_29
13,Customer_331,Tablet,Computing,788.27,2,2025-05-09 08:06:46.270899,West,Sales_46
14,Customer_459,Tablet,Accessories,169.17,2,2025-06-18 08:06:46.270902,Central,Sales_34
15,Customer_88,Tablet,Accessories,188.75,7,2025-02-14 08:06:46.270904,South,Sales_7
16,Customer_373,Keyboard,Accessories,1185.6,5,2025-04-29 08:06:46.270907,Central,Sales_40
17,Customer_100,Tablet,Accessories,1202.73,1,2025-02-07 08:06:46.270909,West,Sales_10
18,Customer_872,Keyboard,Electronics,843.33,7,2025-01-27 08:06:46.270912,East,Sales_13
19,Customer_664,Laptop,Accessories,869.37,7,2025-04-26 08:06:46.270915,South,Sales_22
20,Customer_131,Laptop,Computing,117.33,6,2025-06-11 08:06:46.270918,North,Sales_21
21,Customer_662,Phone,Accessories,1037.93,4,2024-12-26 08:06:46.270920,Central,Sales_1
22,Customer_309,Headphones,Accessories,1014.43,8,2024-10-29 08:06:46.270923,South,Sales_41
23,Customer_770,Laptop,Computing,307.6,2,2024-08-29 08:06:46.270925,East,Sales_42
24,Customer_344,Headphones,Accessories,216.64,2,2025-02-09 08:06:46.270928,South,Sales_2
25,Customer_492,Headphones,Accessories,255.91,2,2024-09-02 08:06:46.270930,Central,Sales_29
26,Customer_414,Phone,Accessories,211.05,3,2025-01-08 08:06:46.270933,West,Sales_11
27,Customer_806,Mouse,Electronics,1223.32,6,2024-12-21 08:06:46.270936,North,Sales_37
28,Customer_386,Mouse,Accessories,401.0,1,2025-06-21 08:06:46.270938,West,Sales_7
29,Customer_192,Monitor,Computing,510.35,2,2024-07-05 08:06:46.270941,West,Sales_35
30,Customer_956,Phone,Computing,355.41,2,2025-01-19 08:06:46.270943,Central,Sales_30
31,Customer_277,Monitor,Accessories,1916.09,1,2025-02-04 08:06:46.270946,West,Sales_16
32,Customer_161,Monitor,Accessories,1710.69,3,2024-07-28 08:06:46.270948,West,Sales_15
33,Customer_460,Mouse,Accessories,468.68,7,2025-05-20 08:06:46.270951,Central,Sales_40
34,Customer_314,Phone,Computing,661.86,1,2025-01-11 08:06:46.270953,Central,Sales_20
35,Customer_22,Mouse,Computing,427.69,7,2025-01-18 08:06:46.270956,East,Sales_28
36,Customer_253,Monitor,Electronics,988.83,5,2024-12-19 08:06:46.270959,West,Sales_37
37,Customer_748,Phone,Electronics,49.02,9,2024-12-10 08:06:46.270961,South,Sales_3
38,Customer_857,Monitor,Electronics,1346.02,2,2025-04-13 08:06:46.270964,North,Sales_29
39,Customer_561,Tablet,Computing,1051.08,1,2025-04-27 08:06:46.270966,North,Sales_37
40,Customer_475,Headphones,Electronics,1798.29,9,2025-03-29 08:06:46.270969,Central,Sales_9
41,Customer_59,Phone,Accessories,337.14,8,2025-01-18 08:06:46.270971,Central,Sales_27
42,Customer_511,Phone,Accessories,1610.18,6,2025-04-18 08:06:46.270974,East,Sales_32
43,Customer_682,Headphones,Computing,1586.0,5,2024-11-09 08:06:46.270976,West,Sales_48
44,Customer_476,Monitor,Electronics,263.09,8,2024-12-20 08:06:46.270979,Central,Sales_46
45,Customer_700,Tablet,Accessories,803.13,8,2024-09-16 08:06:46.270981,Central,Sales_39
46,Customer_976,Keyboard,Computing,348.6,5,2025-02-18 08:06:46.270984,North,Sales_31
47,Customer_783,Headphones,Electronics,516.89,7,2024-08-30 08:06:46.270987,West,Sales_47
48,Customer_190,Mouse,Accessories,533.86,1,2024-09-11 08:06:46.270989,East,Sales_26
49,Customer_958,Monitor,Electronics,1116.91,4,2025-05-29 08:06:46.270992,Central,Sales_40
50,Customer_687,Headphones,Computing,828.71,2,2024-10-29 08:06:46.270994,Central,Sales_3
51,Customer_958,Headphones,Electronics,1895.99,3,2024-10-23 08:06:46.270998,Central,Sales_11
52,Customer_563,Phone,Computing,261.48,1,2024-12-02 08:06:46.271002,North,Sales_29
53,Customer_876,Mouse,Electronics,1947.65,2,2024-10-25 08:06:46.271007,Central,Sales_27
54,Customer_567,Mouse,Accessories,468.97,1,2025-04-25 08:06:46.271011,Central,Sales_47
55,Customer_244,Mouse,Computing,1548.02,8,2024-11-12 08:06:46.271016,North,Sales_10
56,Customer_832,Headphones,Computing,684.55,4,2024-08-09 08:06:46.271024,Central,Sales_35
57,Customer_505,Keyboard,Computing,294.73,3,2025-06-18 08:06:46.271033,West,Sales_47
58,Customer_131,Laptop,Electronics,1717.2,1,2025-01-11 08:06:46.271038,West,Sales_23
59,Customer_485,Monitor,Electronics,624.63,2,2024-12-29 08:06:46.271043,North,Sales_6
60,Customer_819,Laptop,Accessories,1321.12,3,2024-09-13 08:06:46.271048,West,Sales_11
61,Customer_647,Headphones,Computing,1137.22,3,2024-11-21 08:06:46.271052,East,Sales_43
62,Customer_21,Laptop,Computing,948.8,6,2024-10-03 08:06:46.271056,Central,Sales_27
63,Customer_841,Headphones,Electronics,996.68,8,2025-06-22 08:06:46.271060,East,Sales_31
64,Customer_167,Laptop,Electronics,1467.15,6,2024-08-28 08:06:46.271064,West,Sales_30
65,Customer_274,Mouse,Accessories,184.67,2,2024-11-27 08:06:46.271069,North,Sales_3
66,Customer_388,Tablet,Accessories,1339.68,2,2025-07-03 08:06:46.271074,North,Sales_13
67,Customer_601,Mouse,Electronics,1792.67,7,2025-03-15 08:06:46.271078,East,Sales_40
68,Customer_316,Mouse,Computing,125.0,1,2024-09-30 08:06:46.271083,West,Sales_21
69,Customer_14,Phone,Accessories,289.9,1,2025-02-25 08:06:46.271087,Central,Sales_43
70,Customer_242,Phone,Electronics,1436.1,7,2025-04-02 08:06:46.271092,West,Sales_11
71,Customer_777,Laptop,Electronics,880.19,9,2025-05-26 08:06:46.271096,West,Sales_45
72,Customer_346,Headphones,Computing,813.06,5,2024-08-22 08:06:46.271100,North,Sales_3
73,Customer_565,Mouse,Electronics,282.56,1,2025-01-26 08:06:46.271104,South,Sales_38
74,Customer_898,Laptop,Electronics,1018.47,5,2024-12-30 08:06:46.271108,Central,Sales_31
75,Customer_340,Phone,Accessories,261.83,1,2024-07-16 08:06:46.271113,Central,Sales_24
76,Customer_92,Tablet,Electronics,958.47,9,2024-10-21 08:06:46.271117,North,Sales_42
77,Customer_367,Monitor,Electronics,1529.59,4,2024-11-07 08:06:46.271121,West,Sales_12
78,Customer_956,Laptop,Accessories,523.95,9,2025-03-22 08:06:46.271126,North,Sales_46
79,Customer_455,Tablet,Computing,966.76,2,2025-06-05 08:06:46.271130,West,Sales_43
80,Customer_428,Monitor,Computing,1984.11,7,2025-04-06 08:06:46.271134,South,Sales_27
81,Customer_509,Keyboard,Accessories,1376.43,2,2025-05-14 08:06:46.271138,South,Sales_21
82,Customer_776,Laptop,Accessories,1684.3,4,2024-07-05 08:06:46.271143,East,Sales_25
83,Customer_943,Laptop,Computing,835.55,6,2025-02-07 08:06:46.271147,West,Sales_30
84,Customer_35,Keyboard,Computing,1538.04,2,2024-08-24 08:06:46.271151,North,Sales_30
85,Customer_206,Keyboard,Computing,90.61,2,2025-05-29 08:06:46.271155,North,Sales_10
86,Customer_81,Laptop,Computing,254.59,2,2024-09-23 08:06:46.271159,North,Sales_3
87,Customer_932,Keyboard,Computing,414.11,3,2025-03-25 08:06:46.271163,East,Sales_13
88,Customer_562,Mouse,Accessories,809.88,5,2025-03-19 08:06:46.271167,Central,Sales_27
89,Customer_872,Monitor,Electronics,1693.03,9,2024-07-24 08:06:46.271171,North,Sales_18
90,Customer_388,Monitor,Computing,699.07,6,2024-09-16 08:06:46.271176,South,Sales_45
91,Customer_2,Monitor,Computing,1312.7,9,2024-07-20 08:06:46.271181,North,Sales_24
92,Customer_390,Mouse,Electronics,1421.54,5,2025-03-21 08:06:46.271185,North,Sales_46
93,Customer_566,Headphones,Electronics,1176.5,6,2024-11-25 08:06:46.271190,North,Sales_14
94,Customer_106,Keyboard,Electronics,720.91,8,2025-04-19 08:06:46.271195,Central,Sales_39
95,Customer_772,Tablet,Electronics,1158.34,3,2024-11-19 08:06:46.271199,North,Sales_44
96,Customer_822,Keyboard,Electronics,691.11,2,2025-04-11 08:06:46.271203,Central,Sales_4
