sku,product_name,warehouse,stock_level,reorder_point,supplier,cost_price,last_updated
SKU_000001,Tool Y,WH_001,51,28,Supplier_11,462.55,2025-07-01 20:06:46.323514
SKU_000002,Widget A,WH_004,124,78,Supplier_3,330.81,2025-06-28 23:06:46.323529
SKU_000003,Device Z,WH_001,261,13,Supplier_2,366.29,2025-06-29 08:06:46.323535
SKU_000004,Widget A,WH_001,954,91,Supplier_19,394.04,2025-06-29 15:06:46.323538
SKU_000005,Gadget X,WH_003,884,50,Supplier_11,49.89,2025-06-28 21:06:46.323542
SKU_000006,Tool Y,WH_004,779,65,Supplier_8,292.86,2025-06-28 09:06:46.323545
SKU_000007,Device Z,WH_002,574,64,Supplier_11,191.08,2025-07-01 18:06:46.323548
SKU_000008,Widget B,WH_003,547,40,Supplier_2,73.88,2025-06-27 17:06:46.323551
SKU_000009,Gadget X,WH_003,520,31,Supplier_12,105.34,2025-06-30 19:06:46.323553
SKU_000010,Widget B,WH_001,329,84,Supplier_9,391.67,2025-07-01 18:06:46.323556
SKU_000011,Widget A,WH_002,322,57,Supplier_6,84.94,2025-06-27 11:06:46.323559
SKU_000012,Gadget X,WH_003,240,89,Supplier_12,159.65,2025-07-01 05:06:46.323562
SKU_000013,Device Z,WH_001,284,13,Supplier_18,146.01,2025-07-01 00:06:46.323565
SKU_000014,Widget B,WH_004,838,30,Supplier_5,29.07,2025-06-27 04:06:46.323567
SKU_000015,Widget B,WH_001,601,50,Supplier_17,233.77,2025-07-02 10:06:46.323571
SKU_000016,Widget A,WH_002,263,54,Supplier_16,384.14,2025-06-27 21:06:46.323575
SKU_000017,Widget A,WH_002,298,98,Supplier_12,15.97,2025-06-27 14:06:46.323577
SKU_000018,Tool Y,WH_001,204,93,Supplier_2,60.71,2025-06-29 21:06:46.323580
SKU_000019,Tool Y,WH_004,290,17,Supplier_16,361.49,2025-07-02 14:06:46.323583
SKU_000020,Widget A,WH_002,210,18,Supplier_1,298.82,2025-06-30 16:06:46.323586
SKU_000021,Tool Y,WH_002,365,27,Supplier_2,359.05,2025-06-29 10:06:46.323589
SKU_000022,Widget B,WH_004,789,40,Supplier_13,118.9,2025-06-27 23:06:46.323592
SKU_000023,Widget A,WH_003,463,44,Supplier_16,402.87,2025-06-29 00:06:46.323594
SKU_000024,Gadget X,WH_002,718,39,Supplier_1,242.54,2025-06-26 15:06:46.323597
SKU_000025,Widget A,WH_001,321,27,Supplier_19,307.1,2025-07-03 05:06:46.323600
SKU_000026,Device Z,WH_004,357,92,Supplier_4,50.62,2025-07-01 18:06:46.323603
SKU_000027,Device Z,WH_002,916,50,Supplier_3,106.49,2025-07-01 08:06:46.323605
SKU_000028,Widget A,WH_003,93,33,Supplier_2,387.81,2025-06-27 22:06:46.323608
SKU_000029,Gadget X,WH_002,710,95,Supplier_12,115.83,2025-06-26 23:06:46.323611
SKU_000030,Widget A,WH_003,862,57,Supplier_13,50.8,2025-07-01 16:06:46.323614
SKU_000031,Gadget X,WH_002,168,23,Supplier_18,300.62,2025-06-30 16:06:46.323617
SKU_000032,Widget B,WH_002,296,28,Supplier_5,276.23,2025-06-28 07:06:46.323619
SKU_000033,Widget B,WH_001,944,69,Supplier_12,305.91,2025-06-27 09:06:46.323622
SKU_000034,Gadget X,WH_004,738,31,Supplier_19,311.06,2025-07-01 22:06:46.323625
SKU_000035,Tool Y,WH_004,515,39,Supplier_1,252.6,2025-06-27 09:06:46.323628
SKU_000036,Widget B,WH_001,97,24,Supplier_9,249.42,2025-07-02 00:06:46.323631
SKU_000037,Device Z,WH_004,704,30,Supplier_1,462.46,2025-06-26 18:06:46.323634
SKU_000038,Widget A,WH_004,777,35,Supplier_18,269.27,2025-06-27 03:06:46.323637
SKU_000039,Tool Y,WH_004,349,21,Supplier_3,310.56,2025-06-30 20:06:46.323640
SKU_000040,Device Z,WH_002,735,16,Supplier_6,137.15,2025-06-28 21:06:46.323642
SKU_000041,Widget A,WH_002,578,84,Supplier_4,436.19,2025-06-26 14:06:46.323645
SKU_000042,Device Z,WH_003,649,93,Supplier_12,17.06,2025-07-01 18:06:46.323649
SKU_000043,Tool Y,WH_003,840,44,Supplier_12,280.83,2025-06-27 22:06:46.323654
SKU_000044,Gadget X,WH_004,400,77,Supplier_5,195.01,2025-06-29 09:06:46.323659
SKU_000045,Widget A,WH_004,750,11,Supplier_13,303.93,2025-06-27 12:06:46.323664
SKU_000046,Device Z,WH_004,450,29,Supplier_12,183.29,2025-07-02 19:06:46.323668
SKU_000047,Device Z,WH_001,474,56,Supplier_4,360.26,2025-06-27 17:06:46.323673
SKU_000048,Tool Y,WH_002,820,93,Supplier_6,15.06,2025-06-28 18:06:46.323680
SKU_000049,Tool Y,WH_004,418,21,Supplier_19,205.92,2025-07-02 14:06:46.323691
SKU_000050,Tool Y,WH_004,3,62,Supplier_6,416.48,2025-06-28 20:06:46.323698
SKU_000051,Gadget X,WH_002,323,26,Supplier_6,128.85,2025-06-27 11:06:46.323703
SKU_000052,Widget B,WH_003,368,27,Supplier_11,31.11,2025-06-29 06:06:46.323708
SKU_000053,Device Z,WH_004,863,33,Supplier_14,250.78,2025-06-30 20:06:46.323712
SKU_000054,Gadget X,WH_004,613,81,Supplier_3,488.38,2025-06-26 13:06:46.323717
SKU_000055,Device Z,WH_004,394,46,Supplier_8,36.76,2025-06-30 14:06:46.323723
SKU_000056,Gadget X,WH_004,555,39,Supplier_4,39.68,2025-06-30 04:06:46.323728
SKU_000057,Widget A,WH_002,118,93,Supplier_16,299.58,2025-06-29 13:06:46.323732
SKU_000058,Widget B,WH_002,699,61,Supplier_18,128.78,2025-07-01 12:06:46.323736
SKU_000059,Device Z,WH_002,742,32,Supplier_7,208.06,2025-06-29 14:06:46.323742
SKU_000060,Tool Y,WH_003,965,46,Supplier_11,416.1,2025-06-30 09:06:46.323747
SKU_000061,Widget B,WH_004,189,83,Supplier_8,103.43,2025-06-27 18:06:46.323752
SKU_000062,Device Z,WH_003,994,33,Supplier_6,361.05,2025-06-28 16:06:46.323757
SKU_000063,Widget A,WH_003,621,89,Supplier_16,254.72,2025-07-02 11:06:46.323761
SKU_000064,Device Z,WH_002,415,59,Supplier_5,452.95,2025-06-29 03:06:46.323765
SKU_000065,Device Z,WH_004,813,85,Supplier_6,486.62,2025-06-27 16:06:46.323769
SKU_000066,Device Z,WH_004,790,29,Supplier_6,245.06,2025-06-30 21:06:46.323774
SKU_000067,Widget B,WH_003,105,56,Supplier_2,294.4,2025-07-01 15:06:46.323777
SKU_000068,Device Z,WH_001,164,27,Supplier_7,374.19,2025-06-30 22:06:46.323780
SKU_000069,Tool Y,WH_001,637,35,Supplier_9,162.74,2025-06-26 09:06:46.323783
SKU_000070,Gadget X,WH_004,345,80,Supplier_15,117.24,2025-07-02 04:06:46.323786
SKU_000071,Tool Y,WH_004,97,52,Supplier_14,482.52,2025-06-29 04:06:46.323788
SKU_000072,Widget A,WH_003,485,56,Supplier_13,219.14,2025-06-28 15:06:46.323791
SKU_000073,Widget B,WH_003,330,94,Supplier_5,5.79,2025-06-28 17:06:46.323794
SKU_000074,Gadget X,WH_002,369,52,Supplier_17,419.67,2025-07-01 15:06:46.323797
SKU_000075,Widget B,WH_003,441,41,Supplier_5,301.83,2025-07-02 04:06:46.323799
SKU_000076,Widget B,WH_003,119,16,Supplier_3,88.44,2025-07-02 12:06:46.323802
SKU_000077,Device Z,WH_001,852,96,Supplier_9,19.92,2025-06-29 08:06:46.323805
SKU_000078,Tool Y,WH_001,298,93,Supplier_9,149.28,2025-06-28 06:06:46.323808
SKU_000079,Gadget X,WH_001,855,93,Supplier_4,464.3,2025-06-30 18:06:46.323811
SKU_000080,Device Z,WH_001,142,41,Supplier_11,467.08,2025-07-01 19:06:46.323814
SKU_000081,Gadget X,WH_003,706,99,Supplier_17,158.95,2025-06-27 13:06:46.323817
SKU_000082,Tool Y,WH_004,641,97,Supplier_14,418.79,2025-07-02 00:06:46.323825
SKU_000083,Device Z,WH_001,966,74,Supplier_10,223.71,2025-07-03 08:06:46.323828
SKU_000084,Gadget X,WH_002,900,67,Supplier_5,328.9,2025-07-02 05:06:46.323831
SKU_000085,Device Z,WH_002,948,62,Supplier_17,170.55,2025-06-30 03:06:46.323834
SKU_000086,Widget B,WH_003,940,99,Supplier_16,260.41,2025-06-28 12:06:46.323837
SKU_000087,Widget A,WH_002,615,43,Supplier_1,150.42,2025-06-30 22:06:46.323840
SKU_000088,Gadget X,WH_001,92,99,Supplier_10,35.25,2025-07-01 08:06:46.323842
SKU_000089,Tool Y,WH_004,296,78,Supplier_12,73.99,2025-07-01 12:06:46.323845
SKU_000090,Gadget X,WH_004,446,65,Supplier_18,148.88,2025-06-28 06:06:46.323848
SKU_000091,Widget A,WH_001,479,75,Supplier_1,488.25,2025-06-27 19:06:46.323851
SKU_000092,Gadget X,WH_002,733,41,Supplier_12,483.01,2025-06-28 14:06:46.323854
SKU_000093,Gadget X,WH_003,711,59,Supplier_6,414.69,2025-07-02 13:06:46.323856
SKU_000094,Gadget X,WH_004,799,33,Supplier_8,120.09,2025-06-29 20:06:46.323859
SKU_000095,Tool Y,WH_001,873,55,Supplier_14,223.59,2025-06-27 09:06:46.323862
SKU_000096,Widget A,WH_001,257,12,Supplier_5,222.69,2025-06-27 13:06:46.323865
SKU_000097,Widget A,WH_002,521,19,Supplier_4,196.55,2025-07-01 05:06:46.323867
SKU_000098,Tool Y,WH_003,682,15,Supplier_16,27.22,2025-06-27 05:06:46.323870
SKU_000099,Gadget X,WH_003,374,61,Supplier_6,269.59,2025-06-29 08:06:46.323873
SKU_000100,Gadget X,WH_002,426,59,Supplier_3,41.04,2025-06-28 15:06:46.323876
SKU_000101,Widget A,WH_001,100,67,Supplier_4,401.95,2025-07-03 07:06:46.323878
SKU_000102,Gadget X,WH_002,621,61,Supplier_8,347.2,2025-07-01 23:06:46.323881
SKU_000103,Widget B,WH_002,758,22,Supplier_14,179.6,2025-07-02 07:06:46.323884
SKU_000104,Gadget X,WH_002,834,68,Supplier_7,325.33,2025-06-26 16:06:46.323886
SKU_000105,Gadget X,WH_001,243,48,Supplier_4,120.35,2025-06-29 11:06:46.323889
SKU_000106,Device Z,WH_004,22,62,Supplier_19,136.3,2025-06-30 16:06:46.323892
SKU_000107,Widget A,WH_001,353,67,Supplier_11,160.5,2025-06-28 19:06:46.323895
SKU_000108,Widget A,WH_004,465,29,Supplier_15,399.52,2025-07-03 01:06:46.323897
SKU_000109,Widget B,WH_004,224,72,Supplier_16,109.29,2025-06-30 16:06:46.323900
SKU_000110,Widget B,WH_002,864,19,Supplier_6,283.58,2025-06-28 19:06:46.323903
SKU_000111,Widget B,WH_003,443,35,Supplier_12,104.23,2025-06-27 15:06:46.323906
SKU_000112,Widget A,WH_002,976,28,Supplier_8,146.09,2025-07-02 01:06:46.323909
SKU_000113,Device Z,WH_001,773,70,Supplier_10,121.56,2025-07-01 06:06:46.323911
SKU_000114,Device Z,WH_003,268,86,Supplier_11,324.28,2025-06-26 09:06:46.323914
SKU_000115,Tool Y,WH_003,532,43,Supplier_9,265.73,2025-06-30 15:06:46.323917
SKU_000116,Widget A,WH_001,990,93,Supplier_17,362.04,2025-07-02 02:06:46.323919
SKU_000117,Tool Y,WH_001,313,53,Supplier_14,113.87,2025-06-30 13:06:46.323922
SKU_000118,Gadget X,WH_002,119,27,Supplier_3,9.53,2025-07-02 21:06:46.323925
SKU_000119,Widget B,WH_001,980,81,Supplier_9,341.85,2025-07-02 02:06:46.323928
SKU_000120,Tool Y,WH_004,480,25,Supplier_18,61.85,2025-07-02 10:06:46.323930
SKU_000121,Tool Y,WH_004,923,96,Supplier_17,126.92,2025-06-26 16:06:46.323933
SKU_000122,Widget A,WH_003,119,86,Supplier_5,156.31,2025-07-03 01:06:46.323936
SKU_000123,Widget B,WH_002,709,35,Supplier_6,374.67,2025-06-28 05:06:46.323939
SKU_000124,Widget B,WH_002,135,74,Supplier_3,314.82,2025-06-30 01:06:46.323941
SKU_000125,Device Z,WH_003,76,75,Supplier_16,96.21,2025-07-02 18:06:46.323944
SKU_000126,Tool Y,WH_001,353,86,Supplier_15,300.95,2025-06-29 01:06:46.323947
SKU_000127,Device Z,WH_002,57,36,Supplier_8,355.53,2025-06-26 23:06:46.323950
SKU_000128,Tool Y,WH_003,935,13,Supplier_9,197.5,2025-06-30 03:06:46.323953
SKU_000129,Widget A,WH_003,85,60,Supplier_4,126.75,2025-07-02 21:06:46.323955
SKU_000130,Widget A,WH_004,0,93,Supplier_13,341.1,2025-07-02 06:06:46.323958
SKU_000131,Gadget X,WH_003,76,12,Supplier_3,307.39,2025-06-28 18:06:46.323961
SKU_000132,Tool Y,WH_001,960,96,Supplier_7,43.57,2025-06-26 19:06:46.323963
SKU_000133,Tool Y,WH_001,521,75,Supplier_16,335.01,2025-07-03 05:06:46.323966
SKU_000134,Widget B,WH_001,443,25,Supplier_17,246.82,2025-07-01 03:06:46.323969
SKU_000135,Widget B,WH_001,580,83,Supplier_17,377.92,2025-06-29 10:06:46.323971
SKU_000136,Device Z,WH_003,147,37,Supplier_19,99.41,2025-06-26 15:06:46.323974
SKU_000137,Gadget X,WH_002,573,53,Supplier_17,132.82,2025-06-29 21:06:46.323977
SKU_000138,Widget A,WH_003,524,27,Supplier_2,273.94,2025-06-27 07:06:46.323979
SKU_000139,Tool Y,WH_002,185,11,Supplier_5,243.46,2025-06-28 23:06:46.323982
SKU_000140,Device Z,WH_002,676,87,Supplier_16,196.25,2025-06-27 23:06:46.323985
SKU_000141,Gadget X,WH_002,521,53,Supplier_11,374.29,2025-06-28 08:06:46.323988
SKU_000142,Widget B,WH_004,770,29,Supplier_6,284.55,2025-06-30 08:06:46.323990
SKU_000143,Gadget X,WH_001,161,65,Supplier_11,356.58,2025-07-02 17:06:46.323993
SKU_000144,Device Z,WH_004,289,32,Supplier_1,80.86,2025-06-27 13:06:46.323996
SKU_000145,Widget A,WH_003,925,69,Supplier_19,365.85,2025-06-27 20:06:46.323999
SKU_000146,Widget B,WH_004,420,80,Supplier_3,233.46,2025-06-26 10:06:46.324001
SKU_000147,Widget B,WH_002,195,54,Supplier_8,21.72,2025-06-27 10:06:46.324004
SKU_000148,Widget A,WH_003,33,56,Supplier_18,121.07,2025-06-30 09:06:46.324007
SKU_000149,Widget B,WH_001,671,87,Supplier_13,17.75,2025-06-29 17:06:46.324009
SKU_000150,Device Z,WH_002,596,46,Supplier_1,231.15,2025-06-27 06:06:46.324012
SKU_000151,Widget B,WH_001,569,17,Supplier_17,166.31,2025-06-29 04:06:46.324015
SKU_000152,Tool Y,WH_004,872,14,Supplier_5,493.79,2025-06-29 23:06:46.324018
SKU_000153,Gadget X,WH_001,407,32,Supplier_12,434.91,2025-06-29 20:06:46.324020
SKU_000154,Device Z,WH_003,776,19,Supplier_11,413.71,2025-07-01 08:06:46.324023
SKU_000155,Widget A,WH_002,296,36,Supplier_18,253.05,2025-06-28 06:06:46.324026
SKU_000156,Device Z,WH_001,919,10,Supplier_8,404.51,2025-07-01 18:06:46.324029
SKU_000157,Tool Y,WH_004,536,80,Supplier_13,137.1,2025-06-30 03:06:46.324031
SKU_000158,Widget B,WH_003,35,17,Supplier_2,282.52,2025-06-27 10:06:46.324034
SKU_000159,Widget B,WH_002,263,20,Supplier_16,199.49,2025-06-28 06:06:46.324037
SKU_000160,Device Z,WH_004,381,37,Supplier_12,89.81,2025-07-01 02:06:46.324039
SKU_000161,Widget B,WH_002,113,43,Supplier_8,40.94,2025-06-28 16:06:46.324042
